Subject,SUB01,SUB02,SUB03,SUB04,SUB05,SUB06,SUB07,SUB08,SUB09,SUB10,SUB11,SUB12
SUB01,0,25,23,20,23,31,29,25,22,26,34,26
SUB02,25,0,20,22,18,25,25,18,20,18,19,18
SUB03,23,20,0,20,26,23,21,27,24,22,26,28
SUB04,20,22,20,0,18,18,23,21,20,14,20,20
SUB05,23,18,26,18,0,22,19,22,20,22,25,21
SUB06,31,25,23,18,22,0,23,27,26,19,28,18
SUB07,29,25,21,23,19,23,0,21,28,23,28,24
SUB08,25,18,27,21,22,27,21,0,22,18,24,19
SUB09,22,20,24,20,20,26,28,22,0,19,28,27
SUB10,26,18,22,14,22,19,23,18,19,0,26,21
SUB11,34,19,26,20,25,28,28,24,28,26,0,22
SUB12,26,18,28,20,21,18,24,19,27,21,22,0
