Student_ID,Name,Subject1,Subject2,Subject3,Subject4,Subject5
S001,Student_001,SUB09,SUB04,SUB02,SUB08,SUB05
S002,Student_002,SUB07,SUB04,SUB12,SUB09,SUB03
S003,Student_003,SUB02,SUB03,SUB09,SUB12,SUB10
S004,Student_004,SUB04,SUB05,SUB02,SUB08,SUB09
S005,Student_005,SUB04,SUB01,SUB03,SUB02,SUB07
S006,Student_006,SUB07,SUB11,SUB02,SUB09,SUB04
S007,Student_007,SUB05,SUB10,SUB08,SUB03,SUB01
S008,Student_008,SUB09,SUB03,SUB12,SUB10,SUB08
S009,Student_009,SUB02,SUB05,SUB12,SUB08,SUB03
S010,Student_010,SUB06,SUB07,SUB01,SUB04,SUB08
S011,Student_011,SUB05,SUB01,SUB06,SUB09,SUB07
S012,Student_012,SUB08,SUB06,SUB12,SUB01,SUB10
S013,Student_013,SUB06,SUB12,SUB05,SUB11,SUB09
S014,Student_014,SUB01,SUB02,SUB04,SUB11,SUB07
S015,Student_015,SUB04,SUB12,SUB03,SUB01,SUB05
S016,Student_016,SUB09,SUB11,SUB06,SUB10,SUB07
S017,Student_017,SUB03,SUB01,SUB08,SUB06,SUB04
S018,Student_018,SUB04,SUB11,SUB12,SUB10,SUB01
S019,Student_019,SUB03,SUB05,SUB08,SUB01,SUB07
S020,Student_020,SUB08,SUB12,SUB09,SUB01,SUB03
S021,Student_021,SUB01,SUB11,SUB04,SUB09,SUB08
S022,Student_022,SUB12,SUB06,SUB05,SUB01,SUB09
S023,Student_023,SUB01,SUB10,SUB07,SUB04,SUB02
S024,Student_024,SUB10,SUB03,SUB07,SUB09,SUB12
S025,Student_025,SUB10,SUB07,SUB11,SUB01,SUB08
S026,Student_026,SUB06,SUB03,SUB02,SUB01,SUB07
S027,Student_027,SUB11,SUB03,SUB01,SUB07,SUB10
S028,Student_028,SUB06,SUB10,SUB09,SUB07,SUB01
S029,Student_029,SUB06,SUB01,SUB02,SUB04,SUB09
S030,Student_030,SUB04,SUB08,SUB09,SUB11,SUB12
S031,Student_031,SUB10,SUB11,SUB06,SUB02,SUB09
S032,Student_032,SUB11,SUB12,SUB03,SUB04,SUB06
S033,Student_033,SUB03,SUB07,SUB12,SUB11,SUB06
S034,Student_034,SUB03,SUB04,SUB11,SUB05,SUB09
S035,Student_035,SUB12,SUB07,SUB04,SUB06,SUB09
S036,Student_036,SUB11,SUB04,SUB07,SUB09,SUB05
S037,Student_037,SUB08,SUB02,SUB10,SUB11,SUB01
